Exercise Name,Muscle Group,Subcategory,Muscle,Movement Type,Plane,Equipment
3-board-bench-press.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Barbell
ab-wheel.gif,Abs,Core,Upper Abs,Isolation,Sagittal,Ab Wheel
active-hang.gif,Back,Upper Back,Latissimus Dorsi,Pull,Transverse,Hang Bar
air-bike-m_waist_fix.gif,Abs,Core,Obliques,Isolation,Transverse,Bodyweight
air-twisting-crunch_waist.gif,Abs,Core,Obliques,Isolation,Transverse,Bodyweight
alternate-heel-touchers.gif,Abs,Core,Obliques,Isolation,Transverse,Bodyweight
alternate-lying-floor-leg-raise.gif,Abs,Core,Lower Abs,Isolation,Sagittal,Bodyweight
alternating-hammer-curls.gif,Arm,Upper Arm,Biceps,Pull,Sagittal,Dumbbell
anderson-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
ankle-dorsal-flexion_calves.gif,Leg,Calves,Calves,Isolation,Sagittal,Bodyweight
anterior-deltoid-stretch.gif,Shoulder,Deltoids,Anterior Delt,Push,Frontal,Bodyweight
archer-pull-up.gif,Back,Upper Back,Latissimus Dorsi,Pull,Transverse,Bodyweight
archer-push-up.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Bodyweight
arm-blaster-benefits.gif,Arm,Upper Arm,Biceps,Pull,Sagittal,Arm Blaster
arm-circles.gif,Shoulder,Deltoids,Lateral Delt,Push,Frontal,Bodyweight
arnold-presses.gif,Shoulder,Deltoids,Anterior Delt,Push,Frontal,Dumbbell
assisted-bulgarian-split-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Bodyweight
assisted-dip.gif,Arm,Upper Arm,Triceps,Push,Sagittal,Bodyweight
assisted-pull-up-machine.gif,Back,Upper Back,Latissimus Dorsi,Pull,Transverse,Strength Machine
assisted-push-up-with-resistance-band.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Resistance Band
assisted-single-leg-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Bodyweight
atg-split-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Bodyweight
b-stance-hip-thrust.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Bodyweight
back-extension.gif,Back,Lower Back,Lower Back,Stability,Sagittal,Cable Machine
ball-sit-up.gif,Abs,Core,Upper Abs,Isolation,Sagittal,Exercise Ball
band-assisted-chin-up.gif,Back,Upper Back,Latissimus Dorsi,Pull,Transverse,Resistance Band
band-assisted-pull-up.gif,Back,Upper Back,Latissimus Dorsi,Pull,Transverse,Resistance Band
band-back-row.gif,Back,Upper Back,Rhomboids,Pull,Frontal,Resistance Band
band-calf-flexion.gif,Leg,Calves,Calves,Isolation,Sagittal,Resistance Band
band-chest-fly.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Resistance Band
band-chest-press.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Resistance Band
band-donkey-kickback.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Resistance Band
band-external-rotation.gif,Shoulder,Rotator Cuff,Infraspinatus,Stability,Transverse,Resistance Band
band-good-morning.gif,Back,Lower Back,Lower Back,Stability,Sagittal,Resistance Band
band-hip-abduction-movement.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Resistance Band
band-internal-rotation.gif,Shoulder,Deltoids,Anterior Delt,Push,Frontal,Resistance Band
band-lat-pulldown.gif,Back,Upper Back,Latissimus Dorsi,Pull,Transverse,Resistance Band
band-leg-press.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Resistance Band
band-pull-apart.gif,Back,Upper Back,Rhomboids,Pull,Frontal,Resistance Band
band-pull-through.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Resistance Band
band-pushdown.gif,Arm,Upper Arm,Triceps,Push,Sagittal,Resistance Band
band-reverse-fly.gif,Shoulder,Deltoids,Posterior Delt,Pull,Transverse,Resistance Band
band-reverse-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Resistance Band
band-row.gif,Back,Upper Back,Rhomboids,Pull,Frontal,Resistance Band
band-side-lunge.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Resistance Band
band-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Resistance Band
band-standing-external-shoulder-rotation_back.gif,Shoulder,Rotator Cuff,Infraspinatus,Stability,Transverse,Resistance Band
band-standing-hip-extension.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Resistance Band
band-tricep-pushdown.gif,Arm,Upper Arm,Triceps,Push,Sagittal,Resistance Band
band-twist-down-up_waist.gif,Abs,Core,Obliques,Isolation,Transverse,Resistance Band
band-upright-shoulder-external-rotation_back.gif,Shoulder,Rotator Cuff,Infraspinatus,Stability,Transverse,Resistance Band
banded-back-squats.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Resistance Band
banded-face-pull.gif,Shoulder,Deltoids,Posterior Delt,Pull,Transverse,Resistance Band
banded-side-steps.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Resistance Band
banded-wide-grip-row.gif,Back,Upper Back,Rhomboids,Pull,Frontal,Resistance Band
barbell-banded-bench-press.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Barbell
barbell-bench-front-squat_thighs.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-bench-press.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Barbell
barbell-bent-over-row.gif,Back,Upper Back,Rhomboids,Pull,Frontal,Barbell
barbell-cheat-curl.gif,Arm,Upper Arm,Biceps,Pull,Sagittal,Barbell
barbell-clean-and-press.gif,Shoulder,Deltoids,Anterior Delt,Push,Frontal,Barbell
barbell-concentration-curls.gif,Arm,Upper Arm,Biceps,Pull,Sagittal,Barbell
barbell-curl.gif,Arm,Upper Arm,Biceps,Pull,Sagittal,Barbell
barbell-deadlift-mixed-grip.gif,Back,Lower Back,Lower Back,Stability,Sagittal,Barbell
barbell-deadlift-movement.gif,Back,Lower Back,Lower Back,Stability,Sagittal,Barbell
barbell-decline-bench-press.gif,Chest,Pectorals,Lower Chest,Push,Sagittal,Barbell
barbell-floor-press.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Barbell
barbell-full-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-good-morning.gif,Back,Lower Back,Lower Back,Stability,Sagittal,Barbell
barbell-hack-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-hang-clean-muscles.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-hip-thrust.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Barbell
barbell-incline-bench-press.gif,Chest,Pectorals,Upper Chest,Push,Sagittal,Barbell
barbell-jm-press.gif,Arm,Upper Arm,Triceps,Push,Sagittal,Barbell
barbell-lateral-lunge_hips_1.gif,Shoulder,Deltoids,Posterior Delt,Pull,Transverse,Barbell
barbell-lunge_thighs.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-lying-triceps-extension_upper-arms.gif,Arm,Upper Arm,Triceps,Push,Sagittal,Barbell
barbell-narrow-stance-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-one-leg-hip-thrust_hips.gif,Leg,Gluteal Group,Glutes,Compound,Sagittal,Barbell
barbell-overhead-press.gif,Shoulder,Deltoids,Anterior Delt,Push,Frontal,Barbell
barbell-overhead-squat.gif,Leg,Quadriceps,Quads,Compound,Sagittal,Barbell
barbell-pause-bench.gif,Chest,Pectorals,Middle Chest,Push,Sagittal,Barbell
barbell-preacher-curl.gif,Arm,Upper Arm,Biceps,Pull,Sagittal,Barbell
