Filename,Equipment,Muscle
weighted-decline-crunch.gif,,
dumbbell-hammer-curl.gif,dumbbell,
alternate-heel-touchers.gif,,
benefits-of-farmers-walks.gif,,
cable-neutral-grip-lat-pulldown.gif,cable,ab
reverse-hack-squat.gif,,
squat-hips-too-high.gif,,
cable-front-raise-movement.gif,cable,ab
barbell-upright-row-standing.gif,barbell,
squat-hold-2-seconds.gif,,
dumbbell-reverse-wrist-curl-muscles.gif,dumbbell,
barbell-pin-squat.gif,barbell,
barbell-push-jerk-muscles.gif,barbell,
cable-shrug.gif,cable,ab
cable-tricep-pushdown.gif,cable,tricep
close-grip-pushup.gif,,
barbell-incline-bench-press.gif,barbell,
dumbbell-squat.gif,dumbbell,
single-leg-leg-press.gif,,leg
close-grip-barbell-curl.gif,barbell,
dumbbell-goblet-squat-muscles.gif,dumbbell,
forward-bend.gif,,
hollow-body-holds.gif,,
assisted-push-up-with-resistance-band.gif,band,
glute-ham-raise-muscles.gif,,
v-bar-tricep-pushdown.gif,,tricep
dumbbell-swings.gif,dumbbell,
behind-the-back-shrugs.gif,,back
tire-flip.gif,,
diamond-push-up.gif,,
band-pull-through.gif,band,
incline-barbell-bench-press.gif,barbell,
overhead-landmine-squat.gif,,
hip-abduction-machine.gif,,ab
barbell-deadlift-front-view.gif,barbell,
pelvic-tilt.gif,,
pin-press.gif,,
goblet-wall-sit-muscles.gif,,
barbell-clean-and-press-muscles.gif,barbell,
pretzel-stretch.gif,,
heel-elevated-hip-thrust.gif,,
dumbbell-preacher-curl.gif,dumbbell,
dumbbell-concentration-curl.gif,dumbbell,
dumbbell-superman-pulls.gif,dumbbell,
cossack-squat.gif,,
kneeling-cable-press.gif,cable,ab
dumbbell-single-leg-glute-bridge.gif,dumbbell,leg
barbell-deadlift-snatch-grip.gif,barbell,
dead-squat.gif,,
high-cable-fly.gif,cable,ab
band-reverse-squat.gif,band,
weighted-neutral-grip-pull-up.gif,,
rear-delt-fly.gif,,
straight-leg-glute-bridge.gif,,leg
dumbbell-good-morning.gif,dumbbell,
straight-leg-crunch.gif,,leg
barbell-split-squat.gif,barbell,
box-jump.gif,,
barbell-reverse-wrist-curl.gif,barbell,
banded-wide-grip-row.gif,band,
explosive-goblet-squat.gif,,
front-squat-clean-grip.gif,,
boxing-muscles.gif,,
front-squat-finger-tip-grip.gif,,
drag-curl.gif,,
negative-push-up.gif,,
wall-crunch.gif,,
lateral-bicep-curls.gif,,bicep
wood-chop-muscles.gif,,
elbow-to-knee-sit-up-movement.gif,,
kettlebell-good-morning.gif,kettlebell,
sumo-deadlift-from-blocks.gif,,
seated-leg-curl.gif,,leg
smith-machine-calf-raise.gif,smith-machine,
handstand-hold.gif,,
cable-y-raise-movement.gif,cable,ab
heel-raises.gif,,
scapular-pull-up.gif,,
kettlebell-pullover.gif,kettlebell,
crunch.gif,,
cable-cross-over-lat-pulldown.gif,cable,ab
archer-pull-up.gif,,
cable-one-arm-lateral-raise.gif,cable,ab
bench-dips-on-floor.gif,,
cat-pose.gif,,
smith-machine-bent-over-row.gif,smith-machine,
sliding-leg-curl-with-towel.gif,,leg
supine-hamstring-stretch.gif,,
barbell-curl.gif,barbell,
active-hang.gif,,
barbell-concentration-curls.gif,barbell,
cable-bench-press.gif,cable,ab
shoulder-external-rotation-stretch.gif,,shoulder
lat-pulldown-reverse-shrug.gif,,
barbell-pause-bench.gif,barbell,
plie-squat.gif,,
upright-cable-row.gif,cable,ab
deficit-deadlift.gif,,
eccentric-pull-up.gif,,
cable-fly.gif,cable,ab
wrist-rotations.gif,,
side-lunge-stretch.gif,,
dumbbell-incline-hammer-curl.gif,dumbbell,
table-top-glute-bridge.gif,,ab
cable-seated-crunch.gif,cable,ab
chest-press-machine.gif,,chest
behind-the-back-biceps-stretches.gif,,bicep
squat-knees-end-position.gif,,
incline-wall-push-ups.gif,,
incline-cable-curl.gif,cable,ab
kettlebell-side-squat.gif,kettlebell,
leg-press-calf-raise.gif,,leg
dumbbell-seated-zottman-curl.gif,dumbbell,
hanging-leg-raise-movement.gif,,leg
bodyweight-walking-lunge-movement.gif,,
weighted-chin-up-muscles.gif,,
meadows-row.gif,,
cable-one-arm-late-pulldown.gif,cable,ab
seated-overhead-press.gif,,
banded-side-steps.gif,band,
suspended-push-ups.gif,,
hanging-lat-stretch.gif,,
ring-dip.gif,,
band-side-lunge.gif,band,
kneeling-quad-stretch-behind-back.gif,,back
pendulum-stretch.gif,,
smith-machine-lunge.gif,smith-machine,
lying-leg-lifts.gif,,leg
how-to-do-a-kettlebell-sumo-squat.gif,kettlebell,
banded-back-squats.gif,band,back
resistance-band-seated-leg-extension.gif,band,leg
narrow-wall-sit.gif,,
bosu-ball-push-up.gif,,
bodyweight-bulgarian-split-squat.gif,,
barbell-squat-clean.gif,barbell,
cable-preacher-curl.gif,cable,ab
heel-raised-wall-sit.gif,,
front-squat.gif,,
prone-hip-circle.gif,,
reverse-hyperextension-on-bench.gif,,
band-standing-hip-extension.gif,band,
standing-cable-straight-arm-pushdown.gif,cable,ab
squat-tempo-4010.gif,,
pronated-grip-cable-fly.gif,cable,ab
cable-single-arm-hammer-curl.gif,cable,ab
